row	column	cor	p	group	DiffExp
333	CytolyticScore	PRSS55	 2.762698e-01	3.003076e-01	ASPS	0
334	T.cells_CD8	RBM46	 1.052440e-01	6.980845e-01	ASPS	0
335	CytolyticScore	RBM46	 1.429433e-01	5.974178e-01	ASPS	0
336	T.cells_CD8	RGS22	-2.941176e-02	9.138956e-01	ASPS	0
337	CytolyticScore	RGS22	 1.235294e-01	6.485421e-01	ASPS	0
338	T.cells_CD8	RNF17	-4.697716e-01	6.635440e-02	ASPS	0
339	CytolyticScore	RNF17	-3.497939e-01	1.841449e-01	ASPS	0
340	T.cells_CD8	ROPN1	-8.436615e-02	7.560710e-01	ASPS	0
341	CytolyticScore	ROPN1	-2.300895e-02	9.325949e-01	ASPS	0
342	T.cells_CD8	SAGE1	 2.681995e-01	3.152183e-01	ASPS	0
343	CytolyticScore	SAGE1	 1.287357e-01	6.346748e-01	ASPS	0
344	T.cells_CD8	SEMG1	-3.644544e-01	1.651818e-01	ASPS	0
345	CytolyticScore	SEMG1	-4.829762e-01	5.808674e-02	ASPS	0
346	T.cells_CD8	SLCO6A1	-1.002954e-01	7.117009e-01	ASPS	0
347	CytolyticScore	SLCO6A1	-1.032453e-01	7.035739e-01	ASPS	0
348	T.cells_CD8	SPA17	-1.588235e-01	5.568613e-01	ASPS	0
349	CytolyticScore	SPA17	-1.941176e-01	4.712897e-01	ASPS	0
350	T.cells_CD8	SPACA3	-6.421338e-02	8.132301e-01	ASPS	0
351	CytolyticScore	SPACA3	-1.013895e-02	9.702724e-01	ASPS	0
352	T.cells_CD8	SPAG1	 2.500000e-01	3.503915e-01	ASPS	0
353	CytolyticScore	SPAG1	 8.235294e-02	7.617331e-01	ASPS	0
354	T.cells_CD8	SPAG17	-2.205882e-01	4.116664e-01	ASPS	0
355	CytolyticScore	SPAG17	-1.117647e-01	6.802737e-01	ASPS	0
356	T.cells_CD8	SPAG4	 1.882353e-01	4.850866e-01	ASPS	0
357	CytolyticScore	SPAG4	-8.823529e-03	9.741280e-01	ASPS	0
358	T.cells_CD8	SPAG6	-1.352941e-01	6.173674e-01	ASPS	0
359	CytolyticScore	SPAG6	-2.029412e-01	4.509612e-01	ASPS	0
360	T.cells_CD8	SPAG8	-3.882353e-01	1.372816e-01	ASPS	0
361	CytolyticScore	SPAG8	-3.764706e-01	1.506481e-01	ASPS	0
362	T.cells_CD8	SPAG9	-7.264706e-01	1.436183e-03	ASPS	0
363	CytolyticScore	SPAG9	-7.294118e-01	1.343079e-03	ASPS	0
364	T.cells_CD8	SPANXA1	-3.640728e-01	1.656581e-01	ASPS	0
